anime_id,title_english,type,episodes,status,duration,rating,score,rank,popularity,premiered
1113,,OVA,3,Finished Airing,30 min. per ep.,Rx - Hentai,6.39,,6589,
5356,Canaan,TV,13,Finished Airing,23 min. per ep.,R - 17+ (violence & profanity),7.36,2172,550,Summer 2009
32868,,Music,1,Finished Airing,4 min.,G - All Ages,5.03,9022,12353,
22627,Santa & His Reindeer Kuppi,OVA,1,Finished Airing,10 min.,G - All Ages,6.06,11957,12675,
5234,,TV,13,Finished Airing,24 min. per ep.,R+ - Mild Nudity,5.47,12839,10029,Fall 2008
9886,,Special,1,Finished Airing,27 min.,G - All Ages,5.67,10176,12445,
4720,White Album,TV,13,Finished Airing,25 min. per ep.,PG-13 - Teens 13 or older,6.68,4867,1180,Winter 2009
16393,,TV,50,Finished Airing,25 min. per ep.,G - All Ages,6.78,11524,11340,Fall 1987
30948,,TV,13,Finished Airing,3 min. per ep.,PG-13 - Teens 13 or older,5.31,8670,2375,Fall 2015
5449,Chibi Kero: Secret of the Kero Ball!?,Special,1,Finished Airing,17 min.,G - All Ages,6.5,5592,8705,
77,Magical Girl Lyrical Nanoha A&#039;s,TV,13,Finished Airing,25 min. per ep.,PG-13 - Teens 13 or older,8.07,466,1574,Fall 2005
5107,Balthus: Tia&#039;s Radiance,OVA,1,Finished Airing,30 min.,Rx - Hentai,5.19,,7920,
2032,,TV,13,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,6.74,4605,4379,Spring 2007
16828,,Movie,1,Finished Airing,1 hr. 15 min.,,3.76,10487,12493,
3437,,TV,99,Finished Airing,24 min. per ep.,G - All Ages,7.23,2691,6328,Fall 1987
32174,"THE IDOLM@STER CINDERELLA GIRLS: Anytime, Anywhere with Cinderella.",Special,1,Finished Airing,29 min.,PG-13 - Teens 13 or older,7.4,2053,4988,
11815,,OVA,2,Finished Airing,16 min. per ep.,Rx - Hentai,5.94,,6679,
1492,Project ARMS,TV,26,Finished Airing,24 min. per ep.,R - 17+ (violence & profanity),7.11,3187,3923,Spring 2001
24071,,Movie,1,Finished Airing,1 hr. 1 min.,PG - Children,6.54,5449,9697,
12809,,TV,30,Finished Airing,25 min. per ep.,G - All Ages,6.33,12672,12456,Spring 2003
15863,Majestic Prince,TV,24,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,7.42,1931,1731,Spring 2013
6899,,TV,29,Finished Airing,25 min. per ep.,G - All Ages,6.27,6528,7977,Fall 2009
20045,,OVA,1,Finished Airing,39 min.,R+ - Mild Nudity,7.05,3372,1940,
13179,,TV,50,Finished Airing,5 min. per ep.,G - All Ages,5.95,11082,11752,Spring 2010
32369,,Special,1,Finished Airing,20 min.,G - All Ages,5.86,12155,13191,
16233,,Special,1,Finished Airing,4 min.,PG-13 - Teens 13 or older,6.21,6740,7373,
9890,,OVA,1,Finished Airing,24 min.,PG-13 - Teens 13 or older,8.33,209,2906,
10578,C³ - CubexCursedxCurious,TV,12,Finished Airing,24 min. per ep.,R - 17+ (violence & profanity),6.8,4305,671,Fall 2011
31911,Pokemon Mystery Dungeon: Gates to Infinity,ONA,2,Finished Airing,2 min. per ep.,G - All Ages,6.39,6044,7499,
